#Accession	Name	No_orfs	Coverage	Abundance	Description
KOG0358	KOG0358	1	0.975655	0.000182	Chaperonin complex component, TCP-1 delta subunit (CCT4)
KOG0359	KOG0359	1	0.998076	0.000186	Chaperonin complex component, TCP-1 zeta subunit (CCT6)
KOG0360	KOG0360	2	1.326605	0.000248	Chaperonin complex component, TCP-1 alpha subunit (CCT1)
KOG0361	KOG0361	1	0.970534	0.000181	Chaperonin complex component, TCP-1 eta subunit (CCT7)
KOG0362	KOG0362	2	1.581005	0.000295	Chaperonin complex component, TCP-1 theta subunit (CCT8)
KOG0363	KOG0363	1	0.988614	0.000184	Chaperonin complex component, TCP-1 beta subunit (CCT2)
KOG0364	KOG0364	1	0.988614	0.000184	Chaperonin complex component, TCP-1 gamma subunit (CCT3)
KOG0365	KOG0365	1	0.825059	0.000154	Beta subunit of farnesyltransferase
KOG0366	KOG0366	1	0.939209	0.000175	Protein geranylgeranyltransferase type II, beta subunit
KOG0367	KOG0367	1	0.942363	0.000176	Protein geranylgeranyltransferase Type I, beta subunit
KOG0368	KOG0368	2	0.98816	0.000184	Acetyl-CoA carboxylase
KOG0369	KOG0369	3	1.488945	0.000278	Pyruvate carboxylase
KOG0370	KOG0370	3	2.137282	0.000399	Multifunctional pyrimidine synthesis protein CAD (includes carbamoyl-phophate synthetase, aspartate transcarbamylase, and glutamine amidotransferase)
KOG0371	KOG0371	2	1.153605	0.000215	Serine/threonine protein phosphatase 2A, catalytic subunit
KOG0372	KOG0372	3	2.990099	0.000559	Serine/threonine specific protein phosphatase involved in glycogen accumulation, PP2A-related
KOG0373	KOG0373	1	0.924836	0.000173	Serine/threonine specific protein phosphatase involved in cell cycle control, PP2A-related
KOG0374	KOG0374	9	6.259818	0.00117	Serine/threonine specific protein phosphatase PP1, catalytic subunit
KOG0375	KOG0375	1	0.518375	9.6e-05	Serine-threonine phosphatase 2B, catalytic subunit
KOG0377	KOG0377	2	1.090332	0.000203	Protein serine/threonine phosphatase RDGC/PPEF, contains STphosphatase and EF-hand domains
KOG0378	KOG0378	1	0.954372	0.000178	40S ribosomal protein S4
KOG0379	KOG0379	16	7.798755	0.001458	Kelch repeat-containing proteins
KOG0381	KOG0381	6	4.5625	0.000853	HMG box-containing protein
KOG0382	KOG0382	4	3.706106	0.000693	Carbonic anhydrase
KOG0383	KOG0383	2	0.165229	3e-05	Predicted helicase
KOG0384	KOG0384	8	2.187181	0.000409	Chromodomain-helicase DNA-binding protein
KOG0385	KOG0385	3	2.090628	0.000391	Chromatin remodeling complex WSTF-ISWI, small subunit
KOG0387	KOG0387	3	1.439869	0.000269	Transcription-coupled repair protein CSB/RAD26 (contains SNF2 family DNA-dependent ATPase domain)
KOG0389	KOG0389	2	0.811902	0.000151	SNF2 family DNA-dependent ATPase
KOG0390	KOG0390	2	1.413659	0.000264	DNA repair protein, SNF2 family
KOG0391	KOG0391	2	0.590398	0.00011	SNF2 family DNA-dependent ATPase
KOG0392	KOG0392	1	0.994189	0.000185	SNF2 family DNA-dependent ATPase domain-containing protein
KOG0393	KOG0393	17	9.429292	0.001763	Ras-related small GTPase, Rho type
KOG0394	KOG0394	1	0.990476	0.000185	Ras-related GTPase
KOG0395	KOG0395	2	1.688775	0.000315	Ras-related GTPase
KOG0396	KOG0396	1	0.979434	0.000183	Uncharacterized conserved protein
KOG0397	KOG0397	1	0.982954	0.000183	60S ribosomal protein L11
KOG0399	KOG0399	6	2.107843	0.000394	Glutamate synthase
KOG0400	KOG0400	1	1	0.000187	40S ribosomal protein S13
KOG0401	KOG0401	1	0.246391	4.6e-05	Translation initiation factor 4F, ribosome/mRNA-bridging subunit (eIF-4G)
KOG0402	KOG0402	1	0.967391	0.00018	60S ribosomal protein L37
KOG0403	KOG0403	2	0.558139	0.000104	Neoplastic transformation suppressor Pdcd4/MA-3, contains MA3 domain
KOG0404	KOG0404	1	0.962732	0.00018	Thioredoxin reductase
KOG0405	KOG0405	1	0.920502	0.000172	Pyridine nucleotide-disulphide oxidoreductase
KOG0406	KOG0406	3	2.177489	0.000407	Glutathione S-transferase
KOG0407	KOG0407	1	0.906474	0.000169	40S ribosomal protein S14
KOG0409	KOG0409	2	1.605504	0.0003	Predicted dehydrogenase
KOG0411	KOG0411	1	0.753086	0.00014	Uncharacterized membrane protein
KOG0412	KOG0412	2	1.618369	0.000302	Golgi transport complex COD1 protein
KOG0413	KOG0413	1	0.139306	2.6e-05	Uncharacterized conserved protein related to condensin complex subunit 1
KOG0414	KOG0414	1	0.854516	0.000159	Chromosome condensation complex Condensin, subunit D2
KOG0415	KOG0415	1	0.80167	0.000149	Predicted peptidyl prolyl cis-trans isomerase
KOG0416	KOG0416	1	0.761904	0.000142	Ubiquitin-protein ligase
KOG0417	KOG0417	5	4.918918	0.00092	Ubiquitin-protein ligase
KOG0418	KOG0418	1	0.97	0.000181	Ubiquitin-protein ligase
KOG0419	KOG0419	2	1.618421	0.000302	Ubiquitin-protein ligase
KOG0420	KOG0420	2	1.505434	0.000281	Ubiquitin-protein ligase
KOG0421	KOG0421	1	0.885714	0.000165	Ubiquitin-protein ligase
KOG0423	KOG0423	1	0.991031	0.000185	Ubiquitin-protein ligase
KOG0424	KOG0424	2	1.898734	0.000355	Ubiquitin-protein ligase
KOG0425	KOG0425	2	1.894736	0.000354	Ubiquitin-protein ligase
KOG0426	KOG0426	1	0.975757	0.000182	Ubiquitin-protein ligase
KOG0428	KOG0428	1	0.515923	9.6e-05	Non-canonical ubiquitin conjugating enzyme 1
KOG0429	KOG0429	1	0.713178	0.000133	Ubiquitin-conjugating enzyme-related protein Ft1, involved in programmed cell death
KOG0431	KOG0431	2	0.549668	0.000102	Auxilin-like protein and related proteins containing DnaJ domain
KOG0432	KOG0432	2	1.909547	0.000357	Valyl-tRNA synthetase
KOG0433	KOG0433	1	0.866595	0.000162	Isoleucyl-tRNA synthetase
KOG0434	KOG0434	1	0.993457	0.000185	Isoleucyl-tRNA synthetase
KOG0435	KOG0435	1	0.981735	0.000183	Leucyl-tRNA synthetase
KOG0436	KOG0436	2	1.797577	0.000336	Methionyl-tRNA synthetase
KOG0437	KOG0437	2	1.023148	0.000191	Leucyl-tRNA synthetase
KOG0439	KOG0439	1	0.550458	0.000102	VAMP-associated protein involved in inositol metabolism
KOG0440	KOG0440	5	3.855967	0.000721	Cell cycle-associated protein Mob1-1
KOG0441	KOG0441	3	2.954545	0.000552	Cu2+/Zn2+ superoxide dismutase SOD1
KOG0442	KOG0442	2	1.140134	0.000213	Structure-specific endonuclease ERCC1-XPF, catalytic component XPF/ERCC4
KOG0443	KOG0443	7	1.608222	0.0003	Actin regulatory proteins (gelsolin/villin family)
KOG0444	KOG0444	5	0.885258	0.000165	Cytoskeletal regulator Flightless-I (contains leucine-rich and gelsolin repeats)
KOG0445	KOG0445	1	0.0642	1.2e-05	Actin regulatory protein supervillin (gelsolin/villin family)
KOG0446	KOG0446	5	2.109589	0.000394	Vacuolar sorting protein VPS1, dynamin, and related proteins
KOG0447	KOG0447	1	0.096938	1.8e-05	Dynamin-like GTP binding protein
KOG0449	KOG0449	1	0.523809	9.7e-05	Succinate dehydrogenase, cytochrome b subunit
KOG0450	KOG0450	2	1.864306	0.000348	2-oxoglutarate dehydrogenase, E1 subunit
KOG0453	KOG0453	1	0.457583	8.5e-05	Aconitase/homoaconitase (aconitase superfamily)
KOG0454	KOG0454	1	0.950199	0.000177	3-isopropylmalate dehydratase (aconitase superfamily)
KOG0455	KOG0455	1	0.967032	0.00018	Homoserine dehydrogenase
KOG0456	KOG0456	3	2.005366	0.000375	Aspartate kinase
KOG0457	KOG0457	3	0.773972	0.000144	Histone acetyltransferase complex SAGA/ADA, subunit ADA2
KOG0458	KOG0458	1	0.893864	0.000167	Elongation factor 1 alpha
KOG0459	KOG0459	1	0.904191	0.000169	Polypeptide release factor 3
KOG0460	KOG0460	1	0.919821	0.000172	Mitochondrial translation elongation factor Tu
KOG0461	KOG0461	1	0.927203	0.000173	Selenocysteine-specific elongation factor
KOG0462	KOG0462	2	1.827692	0.000341	Elongation factor-type GTP-binding protein
KOG0463	KOG0463	1	0.653666	0.000122	GTP-binding protein GP-1
KOG0465	KOG0465	2	1.947295	0.000364	Mitochondrial elongation factor
KOG0466	KOG0466	1	0.980686	0.000183	Translation initiation factor 2, gamma subunit (eIF-2gamma; GTPase)
KOG0467	KOG0467	1	0.998872	0.000186	Translation elongation factor 2/ribosome biogenesis protein RIA1 and related proteins
KOG0468	KOG0468	1	0.980432	0.000183	U5 snRNP-specific protein
KOG0469	KOG0469	1	1	0.000187	Elongation factor 2
KOG0472	KOG0472	20	9.267256	0.001733	Leucine-rich repeat protein
KOG0474	KOG0474	1	0.793963	0.000148	Cl- channel CLC-7 and related proteins (CLC superfamily)
KOG0475	KOG0475	1	0.472701	8.8e-05	Cl- channel CLC-3 and related proteins (CLC superfamily)
KOG0476	KOG0476	1	0.529538	9.9e-05	Cl- channel CLC-2 and related proteins (CLC superfamily)
KOG0477	KOG0477	2	1.385245	0.000259	DNA replication licensing factor, MCM2 component
KOG0478	KOG0478	1	0.847014	0.000158	DNA replication licensing factor, MCM4 component
KOG0479	KOG0479	2	0.949877	0.000177	DNA replication licensing factor, MCM3 component
KOG0480	KOG0480	2	1.764397	0.00033	DNA replication licensing factor, MCM6 component
KOG0481	KOG0481	1	0.613168	0.000114	DNA replication licensing factor, MCM5 component
KOG0482	KOG0482	1	0.991678	0.000185	DNA replication licensing factor, MCM7 component
KOG0492	KOG0492	1	0.353658	6.6e-05	Transcription factor MSH, contains HOX domain
KOG0495	KOG0495	2	1.387732	0.000259	HAT repeat protein
KOG0497	KOG0497	1	0.960526	0.000179	Oxidosqualene-lanosterol cyclase and related proteins
KOG0498	KOG0498	29	11.044016	0.002065	K+-channel ERG and related proteins, contain PAS/PAC sensor domain
KOG0500	KOG0500	4	1.481343	0.000277	Cyclic nucleotide-gated cation channel CNGA1-3 and related proteins
KOG0501	KOG0501	2	0.155509	2.9e-05	K+-channel KCNQ
KOG0502	KOG0502	9	3.361486	0.000628	Integral membrane ankyrin-repeat protein Kidins220 (protein kinase D substrate)
KOG0503	KOG0503	2	1.195652	0.000223	Asparaginase
KOG0505	KOG0505	6	1.227703	0.000229	Myosin phosphatase, regulatory subunit
KOG0506	KOG0506	4	1.28135	0.000239	Glutaminase (contains ankyrin repeat)
KOG0507	KOG0507	10	1.398126	0.000261	CASK-interacting adaptor protein (caskin) and related proteins with ankyrin repeats and SAM domain
KOG0508	KOG0508	14	2.630894	0.000492	Ankyrin repeat protein
KOG0509	KOG0509	35	7.316666	0.001368	Ankyrin repeat and DHHC-type Zn-finger domain containing proteins
KOG0510	KOG0510	12	2.210979	0.000413	Ankyrin repeat protein
KOG0511	KOG0511	1	0.381782	7.1e-05	Ankyrin repeat protein
KOG0512	KOG0512	1	0.416666	7.7e-05	Fetal globin-inducing factor (contains ankyrin repeats)
KOG0514	KOG0514	4	0.714601	0.000133	Ankyrin repeat protein
KOG0515	KOG0515	2	0.764627	0.000143	p53-interacting protein 53BP/ASPP, contains ankyrin and SH3 domains
KOG0517	KOG0517	2	0.298018	5.5e-05	Beta-spectrin
KOG0518	KOG0518	3	0.479784	8.9e-05	Actin-binding cytoskeleton protein, filamin
KOG0519	KOG0519	15	6.123409	0.001145	Sensory transduction histidine kinase
KOG0520	KOG0520	3	0.378461	7e-05	Uncharacterized conserved protein, contains IPT/TIG domain
KOG0521	KOG0521	8	2.171974	0.000406	Putative GTPase activating proteins (GAPs)
KOG0522	KOG0522	1	0.139285	2.6e-05	Ankyrin repeat protein
KOG0523	KOG0523	1	0.976265	0.000182	Transketolase
KOG0524	KOG0524	2	1.598885	0.000299	Pyruvate dehydrogenase E1, beta subunit
KOG0525	KOG0525	1	0.895027	0.000167	Branched chain alpha-keto acid dehydrogenase E1, beta subunit
KOG0526	KOG0526	6	1.960975	0.000366	Nucleosome-binding factor SPN, POB3 subunit
KOG0529	KOG0529	1	0.52494	9.8e-05	Protein geranylgeranyltransferase type II, alpha subunit
KOG0530	KOG0530	2	1.657232	0.00031	Protein farnesyltransferase, alpha subunit/protein geranylgeranyltransferase type I, alpha subunit
KOG0531	KOG0531	13	5.157004	0.000964	Protein phosphatase 1, regulatory subunit, and related proteins
KOG0532	KOG0532	8	1.734072	0.000324	Leucine-rich repeat (LRR) protein, contains calponin homology domain
KOG0533	KOG0533	1	0.485596	9e-05	RRM motif-containing protein
KOG0534	KOG0534	10	8.195804	0.001533	NADH-cytochrome b-5 reductase
KOG0535	KOG0535	2	1.968503	0.000368	Sulfite oxidase, molybdopterin-binding component
KOG0536	KOG0536	2	1.434482	0.000268	Flavohemoprotein b5+b5R
KOG0537	KOG0537	22	14.709677	0.002751	Cytochrome b5
KOG0538	KOG0538	2	1.939393	0.000362	Glycolate oxidase
KOG0540	KOG0540	4	3.727611	0.000697	3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta
KOG0543	KOG0543	11	4.609571	0.000862	FKBP-type peptidyl-prolyl cis-trans isomerase
KOG0544	KOG0544	10	9.212962	0.001723	FKBP-type peptidyl-prolyl cis-trans isomerase
KOG0546	KOG0546	9	4.120967	0.00077	HSP90 co-chaperone CPR7/Cyclophilin
KOG0547	KOG0547	2	0.392739	7.3e-05	Translocase of outer mitochondrial membrane complex, subunit TOM70/TOM72
KOG0548	KOG0548	15	3.382189	0.000632	Molecular co-chaperone STI1
KOG0549	KOG0549	2	1.62234	0.000303	FKBP-type peptidyl-prolyl cis-trans isomerase
KOG0550	KOG0550	7	3.901234	0.000729	Molecular chaperone (DnaJ superfamily)
KOG0551	KOG0551	1	0.876923	0.000164	Hsp90 co-chaperone CNS1 (contains TPR repeats)
KOG0553	KOG0553	9	3.036184	0.000567	TPR repeat-containing protein
KOG0554	KOG0554	2	1.910313	0.000357	Asparaginyl-tRNA synthetase (mitochondrial)
KOG0556	KOG0556	1	0.986866	0.000184	Aspartyl-tRNA synthetase
KOG0557	KOG0557	6	2.846808	0.000532	Dihydrolipoamide acetyltransferase
KOG0558	KOG0558	1	0.881856	0.000164	Dihydrolipoamide transacylase (alpha-keto acid dehydrogenase E2 subunit)
KOG0559	KOG0559	7	2.474835	0.000462	Dihydrolipoamide succinyltransferase (2-oxoglutarate dehydrogenase, E2 subunit)
KOG0560	KOG0560	1	0.971786	0.000181	Sulfite reductase (ferredoxin)
KOG0563	KOG0563	3	2.865731	0.000536	Glucose-6-phosphate 1-dehydrogenase
KOG0564	KOG0564	3	2.428813	0.000454	5,10-methylenetetrahydrofolate reductase
KOG0566	KOG0566	9	2.081481	0.000389	Inositol-1,4,5-triphosphate 5-phosphatase (synaptojanin), INP51/INP52/INP53 family
KOG0567	KOG0567	1	0.896193	0.000167	HEAT repeat-containing protein
KOG0569	KOG0569	1	0.919587	0.000172	Permease of the major facilitator superfamily
KOG0570	KOG0570	1	0.775784	0.000145	Transcriptional coactivator
KOG0571	KOG0571	2	1.504604	0.000281	Asparagine synthase (glutamine-hydrolyzing)
KOG0572	KOG0572	1	0.989451	0.000185	Glutamine phosphoribosylpyrophosphate amidotransferase
KOG0573	KOG0573	1	0.780769	0.000146	Asparagine synthase
KOG0574	KOG0574	4	2.525896	0.000472	STE20-like serine/threonine kinase MST
KOG0575	KOG0575	2	1.307432	0.000244	Polo-like serine/threonine protein kinase
KOG0577	KOG0577	2	0.529535	9.9e-05	Serine/threonine protein kinase
KOG0578	KOG0578	6	3.361818	0.000628	p21-activated serine/threonine protein kinase
KOG0579	KOG0579	2	0.411962	7.7e-05	Ste20-like serine/threonine protein kinase
KOG0580	KOG0580	4	3.829181	0.000716	Serine/threonine protein kinase
KOG0581	KOG0581	14	9.736263	0.001821	Mitogen-activated protein kinase kinase (MAP2K)
KOG0582	KOG0582	1	0.591085	0.00011	Ste20-like serine/threonine protein kinase
KOG0583	KOG0583	25	15.475675	0.002894	Serine/threonine protein kinase
KOG0584	KOG0584	2	0.878164	0.000164	Serine/threonine protein kinase
KOG0585	KOG0585	7	3.208333	0.0006	Ca2+/calmodulin-dependent protein kinase kinase beta and related serine/threonine protein kinases
KOG0587	KOG0587	1	0.10703	2e-05	Traf2- and Nck-interacting kinase and related germinal center kinase (GCK) family protein kinases
KOG0588	KOG0588	3	0.802798	0.00015	Serine/threonine protein kinase
KOG0589	KOG0589	6	3.316901	0.00062	Serine/threonine protein kinase
KOG0590	KOG0590	1	0.163061	3e-05	Checkpoint kinase and related serine/threonine protein kinases
KOG0591	KOG0591	4	2.826666	0.000528	NIMA (never in mitosis)-related G2-specific serine/threonine protein kinase
KOG0592	KOG0592	5	1.748344	0.000327	3-phosphoinositide-dependent protein kinase (PDK1)
KOG0593	KOG0593	1	0.737373	0.000137	Predicted protein kinase KKIAMRE
KOG0594	KOG0594	4	3.71517	0.000694	Protein kinase PCTAIRE and related kinases
KOG0595	KOG0595	2	0.759906	0.000142	Serine/threonine-protein kinase involved in autophagy
KOG0596	KOG0596	1	0.385524	7.2e-05	Dual specificity; serine/threonine and tyrosine kinase
KOG0597	KOG0597	4	1.220297	0.000228	Serine-threonine protein kinase FUSED
KOG0598	KOG0598	42	30.291316	0.005666	Ribosomal protein S6 kinase and related proteins
KOG0600	KOG0600	3	1.725	0.000322	Cdc2-related protein kinase
KOG0603	KOG0603	5	1.245098	0.000232	Ribosomal protein S6 kinase
KOG0605	KOG0605	2	1.32909	0.000248	NDR and related serine/threonine kinases
KOG0608	KOG0608	2	0.371373	6.9e-05	Warts/lats-like serine threonine kinases
KOG0611	KOG0611	4	0.365269	6.8e-05	Predicted serine/threonine protein kinase
KOG0612	KOG0612	27	6.257403	0.00117	Rho-associated, coiled-coil containing protein kinase
KOG0614	KOG0614	28	11.374316	0.002127	cGMP-dependent protein kinase
KOG0615	KOG0615	4	1.353684	0.000253	Serine/threonine protein kinase Chk2 and related proteins
KOG0616	KOG0616	6	4.492957	0.00084	cAMP-dependent protein kinase catalytic subunit (PKA)
KOG0617	KOG0617	2	1.246212	0.000233	Ras suppressor protein (contains leucine-rich repeats)
KOG0618	KOG0618	10	2.162812	0.000404	Serine/threonine phosphatase 2C containing leucine-rich repeats, similar to SCN circadian oscillatory protein (SCOP)
KOG0620	KOG0620	2	1.939058	0.000362	Glucose-repressible alcohol dehydrogenase transcriptional effector CCR4 and related proteins
KOG0621	KOG0621	6	3.551369	0.000664	Phospholipid scramblase
KOG0622	KOG0622	3	2.544642	0.000476	Ornithine decarboxylase
KOG0623	KOG0623	1	0.994454	0.000186	Glutamine amidotransferase/cyclase
KOG0625	KOG0625	1	0.998207	0.000186	Phosphoglucomutase
KOG0627	KOG0627	3	1.365131	0.000255	Heat shock transcription factor
KOG0629	KOG0629	1	0.623529	0.000116	Glutamate decarboxylase and related proteins
KOG0631	KOG0631	3	1.566462	0.000293	Galactokinase
KOG0632	KOG0632	2	0.943298	0.000176	Phytochelatin synthase
KOG0633	KOG0633	1	0.965333	0.00018	Histidinol phosphate aminotransferase
KOG0634	KOG0634	3	2.665254	0.000498	Aromatic amino acid aminotransferase and related proteins
KOG0635	KOG0635	1	0.95169	0.000178	Adenosine 5'-phosphosulfate kinase
KOG0636	KOG0636	1	0.75751	0.000141	ATP sulfurylase (sulfate adenylyltransferase)
KOG0637	KOG0637	4	1.746987	0.000326	Sucrose transporter and related proteins
KOG0638	KOG0638	1	0.627296	0.000117	4-hydroxyphenylpyruvate dioxygenase
KOG0641	KOG0641	1	0.74	0.000138	WD40 repeat protein
KOG0642	KOG0642	1	0.240901	4.5e-05	Cell-cycle nuclear protein, contains WD-40 repeats
KOG0643	KOG0643	1	0.984709	0.000184	Translation initiation factor 3, subunit i (eIF-3i)/TGF-beta receptor-interacting protein (TRIP-1)
KOG0644	KOG0644	2	0.500449	9.3e-05	Uncharacterized conserved protein, contains WD40 repeat and BROMO domains
KOG0645	KOG0645	1	0.971153	0.000181	WD40 repeat protein
KOG0646	KOG0646	1	0.602941	0.000112	WD40 repeat protein
KOG0647	KOG0647	2	1.279538	0.000239	mRNA export protein (contains WD40 repeats)
KOG0648	KOG0648	2	1.291525	0.000241	Predicted NUDIX hydrolase FGF-2 and related proteins
KOG0649	KOG0649	1	0.824615	0.000154	WD40 repeat protein
KOG0650	KOG0650	1	0.950886	0.000177	WD40 repeat nucleolar protein Bop1, involved in ribosome biogenesis
KOG0651	KOG0651	1	1	0.000187	26S proteasome regulatory complex, ATPase RPT4
KOG0652	KOG0652	1	1	0.000187	26S proteasome regulatory complex, ATPase RPT5
KOG0653	KOG0653	3	1.943734	0.000363	Cyclin B and related kinase-activating proteins
KOG0655	KOG0655	1	0.330882	6.1e-05	G1/S-specific cyclin E
KOG0656	KOG0656	2	1.382089	0.000258	G1/S-specific cyclin D
KOG0657	KOG0657	4	3.908771	0.000731	Glyceraldehyde 3-phosphate dehydrogenase
KOG0658	KOG0658	2	1.326923	0.000248	Glycogen synthase kinase-3
KOG0659	KOG0659	3	2.754716	0.000515	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, kinase subunit CDK7
KOG0660	KOG0660	9	8.57103	0.001603	Mitogen-activated protein kinase
KOG0661	KOG0661	5	2.096654	0.000392	MAPK related serine/threonine protein kinase
KOG0666	KOG0666	2	1.139269	0.000213	Cyclin C-dependent kinase CDK8
KOG0667	KOG0667	5	2.790102	0.000521	Dual-specificity tyrosine-phosphorylation regulated kinase
KOG0668	KOG0668	3	1.369822	0.000256	Casein kinase II, alpha subunit
KOG0670	KOG0670	6	1.593085	0.000298	U4/U6-associated splicing factor PRP4
KOG0671	KOG0671	1	0.645783	0.00012	LAMMER dual specificity kinases
KOG0672	KOG0672	1	0.857798	0.00016	Halotolerance protein HAL3 (contains flavoprotein domain)
KOG0673	KOG0673	2	1.986348	0.000371	Thymidylate synthase
KOG0674	KOG0674	1	0.87931	0.000164	Calreticulin
KOG0675	KOG0675	1	0.750896	0.00014	Calnexin
KOG0676	KOG0676	12	7.674731	0.001435	Actin and related proteins
KOG0677	KOG0677	1	0.989717	0.000185	Actin-related protein Arp2/3 complex, subunit Arp2
KOG0678	KOG0678	1	0.980722	0.000183	Actin-related protein Arp2/3 complex, subunit Arp3
KOG0679	KOG0679	2	1.894366	0.000354	Actin-related protein - Arp4p/Act3p
KOG0680	KOG0680	1	0.855	0.000159	Actin-related protein - Arp6p
KOG0681	KOG0681	2	0.52093	9.7e-05	Actin-related protein - Arp5p
KOG0682	KOG0682	9	7.318	0.001368	Ammonia permease
